platform,genre
PS4,Shooter
PS4,Action
3DS,Role-Playing
PS4,Sports
PS4,Shooter
PS4,Shooter
PS4,Sports
3DS,Fighting
XOne,Shooter
PS4,Role-Playing
3DS,Role-Playing
WiiU,Racing
PS4,Sports
PS4,Shooter
XOne,Action
PS4,Shooter
XOne,Shooter
PS3,Misc
WiiU,Fighting
PS4,Action
PS4,Action
XOne,Shooter
PS4,Shooter
WiiU,Shooter
PS3,Shooter
PS4,Misc
X360,Shooter
PS3,Sports
XOne,Role-Playing
PS4,Shooter
PS4,Action
PS4,Shooter
PS4,Role-Playing
PS4,Action
PS4,Action
3DS,Role-Playing
PS4,Sports
PS4,Shooter
XOne,Shooter
XOne,Action
PS4,Action
PS4,Action
XOne,Shooter
3DS,Action
3DS,Role-Playing
XOne,Shooter
XOne,Sports
PS4,Sports
XOne,Shooter
WiiU,Platform
3DS,Simulation
PC,Simulation
PS4,Action
XOne,Shooter
X360,Sports
PS4,Action
PS4,Fighting
XOne,Misc
PS3,Sports
3DS,Role-Playing
XOne,Sports
PS4,Action
PS4,Sports
PS4,Racing
XOne,Shooter
XOne,Sports
3DS,Action
XOne,Sports
3DS,Action
PS4,Action
XOne,Shooter
PS4,Shooter
PS4,Sports
XOne,Sports
XOne,Shooter
PS4,Shooter
PS4,Shooter
PS4,Action
PS4,Racing
X360,Sports
Wii,Misc
PS4,Role-Playing
PSV,Misc
PS4,Shooter
X360,Shooter
PS4,Platform
PS4,Sports
PS4,Action
3DS,Platform
PS4,Role-Playing
PS4,Action
XOne,Racing
PS4,Action
PS4,Sports
PS4,Role-Playing
PS3,Action
PS4,Shooter
PS4,Racing
XOne,Sports
X360,Shooter
PS4,Action
PS3,Shooter
3DS,Role-Playing
PS4,Adventure
PS4,Role-Playing
XOne,Shooter
X360,Sports
PS3,Shooter
WiiU,Misc
XOne,Action
X360,Sports
XOne,Sports
PS4,Shooter
PS4,Platform
WiiU,Platform
XOne,Action
PS4,Shooter
PS3,Sports
PS4,Action
XOne,Racing
3DS,Platform
XOne,Fighting
XOne,Adventure
X360,Shooter
XOne,Action
XOne,Shooter
XOne,Shooter
PS3,Sports
3DS,Action
PS4,Role-Playing
XOne,Role-Playing
WiiU,Platform
XOne,Action
PS3,Shooter
XOne,Action
PC,Role-Playing
PS3,Action
XOne,Role-Playing
X360,Action
PS3,Role-Playing
PS4,Action
X360,Action
3DS,Role-Playing
XOne,Sports
PS3,Role-Playing
WiiU,Action
PS4,Sports
XOne,Shooter
PC,Simulation
WiiU,Puzzle
XOne,Shooter
PS4,Action
PC,Action
PS4,Sports
XOne,Shooter
PS4,Fighting
PS4,Action
PS4,Shooter
3DS,Action
PS4,Fighting
PS4,Racing
XOne,Racing
X360,Action
X360,Shooter
XOne,Shooter
PS4,Sports
WiiU,Action
XOne,Sports
X360,Action
PS4,Platform
WiiU,Fighting
PS4,Role-Playing
X360,Sports
PS4,Shooter
PS3,Action
Wii,Misc
Wii,Action
X360,Sports
PS4,Adventure
PS4,Sports
XOne,Role-Playing
3DS,Action
PS4,Action
PS3,Action
PS4,Sports
PS3,Role-Playing
X360,Role-Playing
PS4,Fighting
XOne,Action
X360,Shooter
PS4,Action
PC,Role-Playing
X360,Action
PS4,Action
X360,Action
X360,Adventure
XOne,Action
PS4,Shooter
3DS,Action
X360,Action
3DS,Role-Playing
PS4,Misc
PS3,Action
WiiU,Role-Playing
PS3,Action
PS4,Action
3DS,Role-Playing
PS4,Sports
XOne,Misc
X360,Racing
PS3,Sports
PS3,Sports
WiiU,Action
XOne,Shooter
3DS,Role-Playing
3DS,Misc
PS4,Shooter
XOne,Action
PS4,Sports
PS4,Role-Playing
3DS,Misc
X360,Role-Playing
PS4,Role-Playing
PS4,Action
XOne,Role-Playing
PS3,Action
PS3,Sports
PS3,Sports
PC,Role-Playing
PS4,Action
WiiU,Misc
PS4,Action
3DS,Role-Playing
PS4,Sports
X360,Shooter
PS4,Action
PC,Role-Playing
PS4,Action
WiiU,Action
PS4,Action
PS4,Adventure
PS3,Adventure
3DS,Action
XOne,Racing
XOne,Shooter
WiiU,Misc
PS4,Shooter
XOne,Shooter
XOne,Action
PS4,Action
PS3,Action
PS4,Racing
XOne,Role-Playing
PS4,Action
PS3,Shooter
XOne,Action
PSV,Role-Playing
WiiU,Action
PC,Simulation
PS4,Action
PSV,Shooter
WiiU,Action
PS3,Action
X360,Sports
PS4,Action
XOne,Racing
XOne,Shooter
PS3,Platform
3DS,Role-Playing
PC,Shooter
PS4,Misc
PS4,Sports
3DS,Action
PS4,Action
XOne,Action
PS3,Sports
PS4,Shooter
PS3,Shooter
XOne,Action
PS4,Role-Playing
X360,Misc
XOne,Sports
PS4,Action
PS4,Sports
PS4,Sports
PS3,Role-Playing
PSV,Sports
XOne,Sports
PS3,Action
PS3,Sports
XOne,Shooter
XOne,Sports
WiiU,Misc
PS3,Role-Playing
3DS,Role-Playing
PC,Shooter
XOne,Adventure
3DS,Action
XOne,Action
PS3,Action
Wii,Sports
XOne,Misc
PS4,Action
PS3,Action
PS4,Action
PC,Action
PC,Shooter
3DS,Role-Playing
WiiU,Action
XOne,Misc
XOne,Action
PC,Shooter
3DS,Action
PC,Strategy
X360,Action
X360,Role-Playing
WiiU,Action
PS4,Action
PS4,Role-Playing
WiiU,Platform
XOne,Shooter
PS3,Sports
PS3,Action
PS4,Shooter
X360,Action
3DS,Misc
3DS,Role-Playing
3DS,Puzzle
XOne,Action
WiiU,Action
XOne,Shooter
3DS,Sports
PS3,Fighting
XOne,Sports
XOne,Misc
PC,Action
XOne,Sports
PS4,Action
PC,Simulation
X360,Action
XOne,Action
PS4,Adventure
PS3,Action
WiiU,Action
3DS,Sports
X360,Action
X360,Sports
3DS,Action
WiiU,Action
PS4,Sports
PS3,Action
PC,Shooter
PC,Action
WiiU,Sports
PS3,Shooter
PS4,Action
XOne,Action
X360,Role-Playing
XOne,Shooter
PS4,Action
3DS,Action
PS3,Fighting
XOne,Action
PS3,Sports
X360,Sports
PS4,Action
X360,Sports
X360,Action
PS4,Racing
3DS,Simulation
WiiU,Role-Playing
WiiU,Misc
XOne,Sports
PS4,Simulation
PS3,Shooter
XOne,Action
XOne,Sports
PC,Shooter
PS3,Racing
PSV,Role-Playing
PC,Shooter
XOne,Misc
PS4,Role-Playing
PS4,Role-Playing
PS4,Adventure
PS3,Sports
X360,Action
PS4,Action
PS4,Action
XOne,Role-Playing
PS4,Adventure
PS3,Sports
PS4,Racing
PS4,Misc
PS4,Misc
X360,Shooter
PC,Shooter
PS4,Role-Playing
X360,Sports
PS3,Fighting
WiiU,Sports
PS4,Action
PS3,Simulation
PS4,Role-Playing
PS4,Shooter
3DS,Misc
PS4,Sports
PS3,Shooter
PS3,Action
PS4,Racing
XOne,Action
PC,Strategy
PS3,Sports
WiiU,Shooter
PSV,Role-Playing
PS4,Misc
3DS,Role-Playing
XOne,Action
PS3,Action
PS4,Simulation
PC,Action
X360,Simulation
PS4,Shooter
PS4,Fighting
PC,Simulation
X360,Shooter
XOne,Action
PS4,Platform
XOne,Shooter
PS4,Action
WiiU,Action
XOne,Platform
XOne,Action
PS4,Fighting
3DS,Action
PS4,Role-Playing
PS4,Sports
PS4,Role-Playing
3DS,Fighting
PS3,Shooter
3DS,Misc
XOne,Misc
XOne,Fighting
3DS,Strategy
X360,Misc
PC,Role-Playing
PSV,Misc
PSV,Misc
PS4,Action
X360,Adventure
X360,Action
PS3,Fighting
3DS,Action
WiiU,Action
XOne,Action
PS4,Simulation
PS4,Action
PS3,Fighting
PS4,Action
3DS,Misc
XOne,Fighting
PS4,Action
X360,Shooter
PSV,Action
PS4,Action
PSV,Role-Playing
PSV,Role-Playing
XOne,Action
DS,Simulation
PSV,Action
PS4,Action
PS4,Sports
PS3,Action
PC,Shooter
3DS,Action
XOne,Action
PS4,Role-Playing
PS4,Action
X360,Shooter
PC,Sports
PS4,Role-Playing
3DS,Action
PS4,Shooter
X360,Shooter
PS3,Shooter
WiiU,Action
3DS,Action
X360,Action
PS4,Action
PS3,Action
3DS,Adventure
PC,Action
PS3,Misc
PS4,Adventure
PS3,Action
XOne,Action
XOne,Action
PS3,Action
3DS,Action
PS4,Action
PS4,Platform
PS4,Fighting
PC,Shooter
XOne,Sports
XOne,Racing
PS3,Action
PS3,Action
PS3,Action
PS4,Shooter
PS3,Action
XOne,Role-Playing
3DS,Adventure
PS3,Misc
